Group	Strains	Similarity	Accession	Genus_Species	Taxon
D0	A096	97.85	CP004372	Roseibacterium elongatum	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A151	97.98	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A140	97.98	KX099618	Acidimangrovimonas sediminis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A078	98.07	DQ852338	Proteiniclasticum ruminis	Firmicutes;Clostridia;Clostridiales;Clostridiaceae
D0	A080	98.48	KX268607	Rhodophyticola porphyridii	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A152	98.81	AY636111	Ornithinimicrobium kibberense	Actinobacteria;Actinomycetia;Dermatophilales;Ornithinimicrobiaceae
D0	A039	98.85	RZMY01000006	Muricauda beolgyonensis	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
D0	A100	98.99	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A023	98.99	AY636111	Ornithinimicrobium kibberense	Actinobacteria;Actinomycetia;Dermatophilales;Ornithinimicrobiaceae
D0	A119	98.99	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A025	99.10	RZMZ01000008	Muricauda aquimarina	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
D0	A065	99.10	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A058	99.12	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A057	99.12	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A139	99.24	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A226	99.36	jgi.1107918	Marivita hallyeonensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A213	99.37	LT674162	Kocuria salina	Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae
D0	A205	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A157	99.37	KP214057	Mangrovibacterium marinum	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A068	99.49	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A170	99.49	jgi.1085777	Yoonia rosea	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A061	99.49	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A122	99.49	LZYB01000003	Porphyrobacter dokdonensis	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae
D0	A201	99.61	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A135	99.62	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A195	99.62	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A160	99.62	RKRA01000001	Georgenia muralis	Actinobacteria;Actinomycetia;Bogoriellales;Bogoriellaceae
D0	A200	99.62	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A041	99.74	RZMZ01000008	Muricauda aquimarina	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
D0	A202	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A216	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A040	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A063	99.74	jgi.1055549	Shimia aestuarii	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A155	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A189	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A203	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A218	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A221	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A060	99.75	jgi.1055549	Shimia aestuarii	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A111	99.75	KT369807	Arenibacillus arenosus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A146	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A147	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A154	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A163	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A184	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A185	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A190	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A192	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A196	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A197	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A141	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A191	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A014	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A016	99.87	AMXN01000021	Bacillus subtilis subsp. inaquosorum	Firmicutes;Bacilli;Bacillales;Bacillaceae
D0	A091	99.87	KT369807	Arenibacillus arenosus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A095	99.87	RFLW01000008	Haliea alexandrii	Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae
D0	A175	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A179	99.87	KT369807	Arenibacillus arenosus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A180	99.87	KT369807	Arenibacillus arenosus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A097	99.87	jgi.1107621	Roseovarius litoreus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A020	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A066	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A125	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A149	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A186	100.00	AY818050	Exiguobacterium profundum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium profundum
D0	A188	100.00	AY818050	Exiguobacterium profundum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium profundum
D0	A015	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A117	100.00	MK249690	Algoriphagus aquimaris	Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae
D0	A127	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A144	100.00	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A166	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A172	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A181	100.00	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D0	A187	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A193	100.00	LGIA01000015	Sunxiuqinia dokdonensis	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A211	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A227	99.36	jgi.1107918	Marivita hallyeonensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A231	97.69	KJ729028	Ascidiaceihabitans donghaensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A234	100.00	LGIA01000015	Sunxiuqinia dokdonensis	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A235	100.00	LGIA01000015	Sunxiuqinia dokdonensis	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A236	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A238	98.06	MH332383	Pararhodobacter marinus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A241	97.98	AMXF01000339	Thauera phenylacetica	Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae
D0	A243	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A245	98.08	DQ852338	Proteiniclasticum ruminis	Firmicutes;Clostridia;Clostridiales;Clostridiaceae
D0	A247	97.72	KJ729028	Ascidiaceihabitans donghaensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A248	99.37	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A249	97.98	AMXF01000339	Thauera phenylacetica	Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae
D0	A250	99.75	JRHC01000015	Draconibacterium sediminis	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A251	98.97	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D0	A254	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A255	99.62	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A258	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A259	99.12	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A261	97.98	AMXF01000339	Thauera phenylacetica	Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae
D0	A264	98.46	JASD01000008	Sulfitobacter noctilucicola	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A265	96.15	AB360343	Ilumatobacter fluminis	Actinobacteria;Acidimicrobiia;Iamiales;Ilumatobacteraceae
D0	A266	98.49	jgi.1048977	Roseinatronobacter thiooxidans	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A270	99.11	EU512918	Marivita litorea	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A271	97.92	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A272	97.18	RJSE01000006	Marmoricola ginsengisoli	Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae
D0	A275	98.04	AM398438	Nocardioides daphniae	Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae
D0	A276	97.12	RJSE01000006	Marmoricola ginsengisoli	Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae
D0	A277	97.98	DQ852338	Proteiniclasticum ruminis	Firmicutes;Clostridia;Clostridiales;Clostridiaceae
D0	A278	98.44	CCXJ01000100	Nocardioides massiliensis	Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae
D0	A280	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A282	98.85	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A283	98.07	AM398438	Nocardioides daphniae	Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae
D0	A287	99.62	MUYG01000008	Porphyrobacter donghaensis	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae
D0	A288	96.11	MG822733	Maribellus luteus	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A289	97.69	MG799855	Meridianimarinicoccus roseus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A290	97.17	RJSE01000006	Marmoricola ginsengisoli	Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae
D0	A292	99.74	GU125651	Rubrimonas shengliensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A294	98.97	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A297	99.50	KP214057	Mangrovibacterium marinum	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A298	97.68	KJ782425	Maritimibacter lacisalsi	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A299	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A300	99.87	KT369807	Arenibacillus arenosus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A301	99.87	KT369807	Arenibacillus arenosus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A302	98.56	KX268607	Rhodophyticola porphyridii	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A303	97.14	KJ782425	Maritimibacter lacisalsi	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A310	99.61	AJ306612	Trichococcus collinsii	Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae
D0	A311	98.95	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A313	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A316	100.00	FXYF01000034	Maliponia aquimaris	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A318	97.65	MH197117	Nioella ostreopsis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A320	97.66	MH197117	Nioella ostreopsis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A321	97.70	MH197117	Nioella ostreopsis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A325	97.14	KJ782425	Maritimibacter lacisalsi	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A326	99.35	KY287246	Actinotalea solisilvae	Actinobacteria;Actinomycetia;Cellulomonadales;Actinotaleaceae
D0	A327	97.65	MH197117	Nioella ostreopsis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A329	96.07	AB360343	Ilumatobacter fluminis	Actinobacteria;Acidimicrobiia;Iamiales;Ilumatobacteraceae
D0	A332	97.66	MH197117	Nioella ostreopsis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A333	97.65	MH197117	Nioella ostreopsis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A336	98.96	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A337	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A339	99.49	KP214057	Mangrovibacterium marinum	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A340	100.00	FXYF01000034	Maliponia aquimaris	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A341	97.79	FXYF01000034	Maliponia aquimaris	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A342	97.67	MH197117	Nioella ostreopsis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A343	98.96	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A346	97.13	EU399548	Marinobacterium maritimum	Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
D0	A348	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A351	99.87	AJ306611	Trichococcus flocculiformis	Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae
D0	A354	97.92	AAOA01000004	Congregibacter litoralis	Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae
D0	A357	97.95	DQ852338	Proteiniclasticum ruminis	Firmicutes;Clostridia;Clostridiales;Clostridiaceae
D0	A360	99.10	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A362	99.23	HM368527	Winogradskyella aquimaris	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
D0	A363	98.48	KX268607	Rhodophyticola porphyridii	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A365	96.09	AB360343	Ilumatobacter fluminis	Actinobacteria;Acidimicrobiia;Iamiales;Ilumatobacteraceae
D0	A366	96.53	KX364240	Maribacter aurantiacus	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
D0	A368	96.14	AB360343	Ilumatobacter fluminis	Actinobacteria;Acidimicrobiia;Iamiales;Ilumatobacteraceae
D0	A370	99.35	FJ573217	Halarcobacter bivalviorum	Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae
D0	A371	100.00	MK249690	Algoriphagus aquimaris	Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae
D0	A375	99.10	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A380	97.92	KX099618	Acidimangrovimonas sediminis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A384	99.35	KY287246	Actinotalea solisilvae	Actinobacteria;Actinomycetia;Cellulomonadales;Actinotaleaceae
D0	A388	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A390	99.74	RZMZ01000008	Muricauda aquimarina	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
D0	A391	99.48	KX982847	Microbulbifer aestuariivivens	Proteobacteria;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae
D0	A392	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A394	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A396	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A398	98.31	jgi.1055363	Salipiger thiooxidans	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A399	98.97	LGIA01000015	Sunxiuqinia dokdonensis	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A404	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A405	99.11	AJ717388	Microcella putealis	Actinobacteria;Actinomycetia;Microbacteriales;Microbacteriaceae
D0	A408	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A409	98.83	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A411	99.74	ATWJ01000007	Ornithinimicrobium pekingense	Actinobacteria;Actinomycetia;Dermatophilales;Ornithinimicrobiaceae
D0	A412	99.49	AJ306611	Trichococcus flocculiformis	Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae
D0	A413	100.00	jgi.1085739	Lutimaribacter saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A414	98.31	jgi.1055363	Salipiger thiooxidans	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A415	98.30	jgi.1055363	Salipiger thiooxidans	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A416	99.87	KY060008	Roseicyclus marinus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A417	99.36	jgi.1107918	Marivita hallyeonensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A418	99.60	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A419	99.36	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A420	99.74	RZMZ01000008	Muricauda aquimarina	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
D0	A422	98.85	AY517632	Marinobacter flavimaris	Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacter_f;Marinobacter;Marinobacter flavimaris
D0	A424	99.74	AY268080	Halomonas ventosae	Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae
D0	A425	99.87	KY060008	Roseicyclus marinus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A426	99.48	AJ717388	Microcella putealis	Actinobacteria;Actinomycetia;Microbacteriales;Microbacteriaceae
D0	A427	99.36	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A429	99.61	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A431	100.00	MK249690	Algoriphagus aquimaris	Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae
D0	A432	99.74	RZMZ01000008	Muricauda aquimarina	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
D0	A434	99.87	KY060008	Roseicyclus marinus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A435	100.00	AUBU01000014	Algoriphagus marincola	Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae
D0	A436	99.87	KY060008	Roseicyclus marinus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A437	97.91	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A438	99.22	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A439	99.87	KY060008	Roseicyclus marinus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A441	98.43	MF034047	Zhengella mangrovi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae
