"","taxon.name"
"213","OTU_1928"
"214","OTU_1929"
"215","OTU_3155"
"216","OTU_15"
"217","OTU_27"
"218","OTU_498"
"219","OTU_692"
"220","OTU_1652"
"221","OTU_1442"
"222","OTU_1614"
"223","OTU_2069"
"224","OTU_2525"
"225","OTU_2237"
"226","OTU_2566"
"227","OTU_2957"
"228","OTU_2470"
"229","OTU_3231"
"230","OTU_3139"
"231","OTU_2041"
"232","OTU_881"
"233","OTU_2831"
"234","OTU_3059"
"235","OTU_3238"
"236","OTU_680"
"237","OTU_2232"
"238","OTU_2056"
"239","OTU_2104"
"240","OTU_2559"
"241","OTU_249"
"242","OTU_193"
"243","OTU_496"
"244","OTU_154"
"245","OTU_216"
"246","OTU_2514"
"247","OTU_3088"
"248","OTU_57"
"249","OTU_297"
"250","OTU_3017"
"251","OTU_182"
"252","OTU_44"
"253","OTU_162"
"254","OTU_21"
"255","OTU_17"
"256","OTU_1932"
"257","OTU_3043"
"258","OTU_2956"
"259","OTU_2963"
"260","OTU_2"
"261","OTU_3"
"262","OTU_250"
"263","OTU_319"
"264","OTU_666"
"265","OTU_314"
"266","OTU_304"
"267","OTU_320"
"268","OTU_220"
"269","OTU_328"
"270","OTU_315"
"271","OTU_177"
"272","OTU_203"
"273","OTU_253"
"274","OTU_1954"
"275","OTU_587"
"276","OTU_789"
"277","OTU_635"
"278","OTU_640"
"279","OTU_347"
"280","OTU_139"
"281","OTU_2077"
"282","OTU_336"
"283","OTU_345"
"284","OTU_573"
"285","OTU_578"
"286","OTU_983"
"287","OTU_87"
"288","OTU_42"
"289","OTU_7"
"290","OTU_261"
"291","OTU_183"
"292","OTU_194"
"293","OTU_494"
"294","OTU_287"
"295","OTU_575"
"296","OTU_645"
"297","OTU_29"
"298","OTU_82"
"299","OTU_37"
"300","OTU_48"
"301","OTU_92"
"302","OTU_55"
"303","OTU_84"
"304","OTU_86"
"305","OTU_54"
"306","OTU_24"
"307","OTU_56"
"308","OTU_49"
"309","OTU_2886"
"310","OTU_2367"
"311","OTU_2028"
"312","OTU_3256"
"313","OTU_2356"
"314","OTU_2628"
"315","OTU_2890"
"316","OTU_2035"
"317","OTU_2152"
"318","OTU_813"
"319","OTU_841"
"320","OTU_840"
"321","OTU_843"
"322","OTU_838"
"323","OTU_825"
"324","OTU_867"
"325","OTU_807"
"326","OTU_812"
"327","OTU_842"
"328","OTU_869"
"329","OTU_831"
"330","OTU_2684"
"331","OTU_2659"
"332","OTU_2780"
"333","OTU_2772"
"334","OTU_2811"
"335","OTU_2710"
"336","OTU_1956"
"337","OTU_2770"
"338","OTU_2812"
"339","OTU_2815"
"340","OTU_2373"
"341","OTU_2489"
"342","OTU_2746"
"343","OTU_2597"
"344","OTU_2640"
"345","OTU_2629"
"346","OTU_2839"
"347","OTU_2836"
"348","OTU_2828"
"349","OTU_1997"
"350","OTU_1967"
"351","OTU_1977"
"352","OTU_1998"
"353","OTU_2005"
"354","OTU_2738"
"355","OTU_2999"
"356","OTU_2978"
"357","OTU_2803"
"358","OTU_3096"
"359","OTU_2821"
"360","OTU_1972"
"361","OTU_1975"
"362","OTU_2008"
"363","OTU_2001"
"364","OTU_1960"
"365","OTU_2007"
"366","OTU_1973"
"367","OTU_1950"
"368","OTU_2012"
"369","OTU_1993"
"370","OTU_3052"
"371","OTU_1944"
"372","OTU_1995"
"373","OTU_1978"
"374","OTU_1976"
"375","OTU_1979"
"376","OTU_1988"
"377","OTU_1974"
"378","OTU_2010"
"379","OTU_1947"
"380","OTU_2527"
"381","OTU_3075"
"382","OTU_3471"
"383","OTU_1935"
"384","OTU_1940"
"385","OTU_1942"
"386","OTU_1716"
"387","OTU_1931"
"388","OTU_1938"
"389","OTU_1847"
"390","OTU_1936"
"391","OTU_1815"
"392","OTU_1867"
"393","OTU_1918"
"394","OTU_1912"
"395","OTU_1923"
"396","OTU_1962"
"397","OTU_1937"
"398","OTU_1939"
"399","OTU_1968"
"400","OTU_1963"
"401","OTU_2000"
"402","OTU_1966"
"403","OTU_1987"
"404","OTU_1990"
"405","OTU_1992"
"406","OTU_2013"
"407","OTU_1952"
"408","OTU_1955"
"409","OTU_1934"
"410","OTU_1959"
"411","OTU_1999"
"412","OTU_1970"
"413","OTU_1994"
"414","OTU_1981"
"415","OTU_1809"
"416","OTU_1914"
"417","OTU_1984"
"418","OTU_1961"
"419","OTU_1989"
"420","OTU_2002"
"421","OTU_1969"
"422","OTU_1982"
"423","OTU_1991"
"424","OTU_1810"
"425","OTU_1986"
"426","OTU_2876"
"427","OTU_1980"
"428","OTU_2011"
"429","OTU_1953"
"430","OTU_2004"
"431","OTU_1964"
"432","OTU_2003"
"433","OTU_1985"
"434","OTU_2009"
"435","OTU_1996"
"436","OTU_1948"
"437","OTU_1951"
"438","OTU_1971"
"439","OTU_1965"
"440","OTU_2006"
"441","OTU_632"
"442","OTU_865"
"443","OTU_656"
"444","OTU_664"
"445","OTU_649"
"446","OTU_474"
"447","OTU_577"
"448","OTU_2921"
"449","OTU_3016"
"450","OTU_3138"
"451","OTU_3130"
"452","OTU_3146"
"453","OTU_2080"
"454","OTU_2923"
"455","OTU_2242"
"456","OTU_2912"
"457","OTU_2973"
"458","OTU_1958"
"459","OTU_1946"
"460","OTU_2870"
"461","OTU_3064"
"462","OTU_3421"
"463","OTU_3053"
"464","OTU_3122"
"465","OTU_2892"
"466","OTU_3458"
"467","OTU_3195"
"468","OTU_26"
"469","OTU_1945"
"470","OTU_1868"
"471","OTU_1871"
"472","OTU_1915"
"473","OTU_1913"
"474","OTU_1043"
"475","OTU_1386"
"476","OTU_1324"
"477","OTU_1169"
"478","OTU_1272"
"479","OTU_1829"
"480","OTU_1798"
"481","OTU_1808"
"482","OTU_1793"
"483","OTU_1811"
"484","OTU_1802"
"485","OTU_1827"
"486","OTU_1082"
"487","OTU_1290"
"488","OTU_1115"
"489","OTU_1504"
"490","OTU_1376"
"491","OTU_1761"
"492","OTU_1768"
"493","OTU_1764"
"494","OTU_1206"
"495","OTU_1533"
"496","OTU_1564"
"497","OTU_1410"
"498","OTU_1411"
"499","OTU_1563"
"500","OTU_1556"
"501","OTU_1171"
"502","OTU_1524"
"503","OTU_1102"
"504","OTU_1127"
"505","OTU_1273"
"506","OTU_1548"
"507","OTU_1780"
"508","OTU_968"
"509","OTU_1539"
"510","OTU_1132"
"511","OTU_1560"
"512","OTU_1409"
"513","OTU_1186"
"514","OTU_1139"
"515","OTU_1129"
"516","OTU_1279"
"517","OTU_1557"
"518","OTU_1396"
"519","OTU_1741"
"520","OTU_953"
"521","OTU_1229"
"522","OTU_1009"
"523","OTU_1077"
"524","OTU_1312"
"525","OTU_1747"
"526","OTU_1313"
"527","OTU_1098"
"528","OTU_1492"
"529","OTU_1353"
"530","OTU_1785"
"531","OTU_1769"
"532","OTU_1516"
"533","OTU_1245"
"534","OTU_1597"
"535","OTU_1433"
"536","OTU_3491"
"537","OTU_3489"
"538","OTU_1037"
"539","OTU_1368"
"540","OTU_1321"
"541","OTU_1787"
"542","OTU_1014"
"543","OTU_1238"
"544","OTU_1664"
"545","OTU_1267"
"546","OTU_1047"
"547","OTU_1160"
"548","OTU_1237"
"549","OTU_1318"
"550","OTU_1510"
"551","OTU_1013"
"552","OTU_1425"
"553","OTU_1620"
"554","OTU_1479"
"555","OTU_1165"
"556","OTU_3490"
"557","OTU_998"
"558","OTU_1363"
"559","OTU_1144"
"560","OTU_941"
"561","OTU_3494"
"562","OTU_1774"
"563","OTU_1093"
"564","OTU_1177"
"565","OTU_1782"
"566","OTU_1786"
"567","OTU_1781"
"568","OTU_1375"
"569","OTU_1507"
"570","OTU_1366"
"571","OTU_1163"
"572","OTU_1385"
"573","OTU_1508"
"574","OTU_1735"
"575","OTU_1287"
"576","OTU_1205"
"577","OTU_1413"
"578","OTU_1602"
"579","OTU_1182"
"580","OTU_1906"
"581","OTU_1858"
"582","OTU_1879"
"583","OTU_1866"
"584","OTU_1849"
"585","OTU_1878"
"586","OTU_1873"
"587","OTU_1853"
"588","OTU_1864"
"589","OTU_1822"
"590","OTU_1859"
"591","OTU_1876"
"592","OTU_1907"
"593","OTU_1905"
"594","OTU_1890"
"595","OTU_1904"
"596","OTU_1865"
"597","OTU_1887"
"598","OTU_1894"
"599","OTU_1846"
"600","OTU_1896"
"601","OTU_1875"
"602","OTU_1895"
"603","OTU_1863"
"604","OTU_1891"
"605","OTU_1861"
"606","OTU_1823"
"607","OTU_1814"
"608","OTU_1892"
"609","OTU_1881"
"610","OTU_1902"
"611","OTU_1908"
"612","OTU_1480"
"613","OTU_1877"
"614","OTU_1083"
"615","OTU_1196"
"616","OTU_1432"
"617","OTU_1462"
"618","OTU_1261"
"619","OTU_1667"
"620","OTU_977"
"621","OTU_2083"
"622","OTU_1706"
"623","OTU_1707"
"624","OTU_1618"
"625","OTU_1703"
"626","OTU_1600"
"627","OTU_1251"
"628","OTU_1398"
"629","OTU_1712"
"630","OTU_1040"
"631","OTU_1610"
"632","OTU_1649"
"633","OTU_1588"
"634","OTU_1691"
"635","OTU_1445"
"636","OTU_1611"
"637","OTU_1291"
"638","OTU_1663"
"639","OTU_1681"
"640","OTU_1633"
"641","OTU_1231"
"642","OTU_1417"
"643","OTU_1474"
"644","OTU_1416"
"645","OTU_1199"
"646","OTU_1419"
"647","OTU_1679"
"648","OTU_1191"
"649","OTU_1634"
"650","OTU_1003"
"651","OTU_1578"
"652","OTU_1252"
"653","OTU_1194"
"654","OTU_1573"
"655","OTU_1016"
"656","OTU_1726"
"657","OTU_1365"
"658","OTU_1534"
"659","OTU_1000"
"660","OTU_1589"
"661","OTU_1280"
"662","OTU_1530"
"663","OTU_1559"
"664","OTU_1612"
"665","OTU_1350"
"666","OTU_1151"
"667","OTU_1170"
"668","OTU_1569"
"669","OTU_1225"
"670","OTU_1045"
"671","OTU_1135"
"672","OTU_1010"
"673","OTU_1364"
"674","OTU_1187"
"675","OTU_1418"
"676","OTU_1423"
"677","OTU_1208"
"678","OTU_1437"
"679","OTU_1582"
"680","OTU_1275"
"681","OTU_1452"
"682","OTU_1699"
"683","OTU_1535"
"684","OTU_958"
"685","OTU_1514"
"686","OTU_1343"
"687","OTU_1647"
"688","OTU_1466"
"689","OTU_1884"
"690","OTU_1897"
"691","OTU_1639"
"692","OTU_1080"
"693","OTU_1631"
"694","OTU_1794"
"695","OTU_1807"
"696","OTU_1176"
"697","OTU_1826"
"698","OTU_1796"
"699","OTU_1850"
"700","OTU_1910"
"701","OTU_1084"
"702","OTU_1909"
"703","OTU_1792"
"704","OTU_1087"
"705","OTU_1839"
"706","OTU_1766"
"707","OTU_1215"
"708","OTU_1797"
"709","OTU_1107"
"710","OTU_1762"
"711","OTU_1844"
"712","OTU_1038"
"713","OTU_1701"
"714","OTU_1547"
"715","OTU_1627"
"716","OTU_1511"
"717","OTU_1044"
"718","OTU_1050"
"719","OTU_1015"
"720","OTU_1444"
"721","OTU_1439"
"722","OTU_1221"
"723","OTU_1180"
"724","OTU_1152"
"725","OTU_1708"
"726","OTU_1674"
"727","OTU_1700"
"728","OTU_1381"
"729","OTU_1161"
"730","OTU_1401"
"731","OTU_1162"
"732","OTU_1565"
"733","OTU_1384"
"734","OTU_1319"
"735","OTU_1496"
"736","OTU_1156"
"737","OTU_1512"
"738","OTU_1670"
"739","OTU_1586"
"740","OTU_978"
"741","OTU_1725"
"742","OTU_1767"
"743","OTU_1125"
"744","OTU_1159"
"745","OTU_1202"
"746","OTU_1719"
"747","OTU_939"
"748","OTU_1055"
"749","OTU_1369"
"750","OTU_1374"
"751","OTU_1100"
"752","OTU_1499"
"753","OTU_1008"
"754","OTU_1168"
"755","OTU_1141"
"756","OTU_1236"
"757","OTU_1463"
"758","OTU_1607"
"759","OTU_1268"
"760","OTU_1358"
"761","OTU_1424"
"762","OTU_1624"
"763","OTU_1073"
"764","OTU_1447"
"765","OTU_1756"
"766","OTU_1131"
"767","OTU_1500"
"768","OTU_1051"
"769","OTU_1157"
"770","OTU_1004"
"771","OTU_1601"
"772","OTU_1765"
"773","OTU_1870"
"774","OTU_1860"
"775","OTU_1888"
"776","OTU_1893"
"777","OTU_1351"
"778","OTU_1283"
"779","OTU_1293"
"780","OTU_1352"
"781","OTU_1336"
"782","OTU_1603"
"783","OTU_1451"
"784","OTU_1412"
"785","OTU_976"
"786","OTU_955"
"787","OTU_1673"
"788","OTU_1286"
"789","OTU_1117"
"790","OTU_1675"
"791","OTU_1737"
"792","OTU_1185"
"793","OTU_1644"
"794","OTU_1227"
"795","OTU_1305"
"796","OTU_1635"
"797","OTU_1294"
"798","OTU_1023"
"799","OTU_1155"
"800","OTU_1527"
"801","OTU_1629"
"802","OTU_1309"
"803","OTU_1606"
"804","OTU_1651"
"805","OTU_1048"
"806","OTU_1598"
"807","OTU_1339"
"808","OTU_1615"
"809","OTU_1438"
"810","OTU_1581"
"811","OTU_1426"
"812","OTU_1752"
"813","OTU_942"
"814","OTU_1642"
"815","OTU_940"
"816","OTU_1006"
"817","OTU_1005"
"818","OTU_1836"
"819","OTU_1790"
"820","OTU_1805"
"821","OTU_1831"
"822","OTU_1806"
"823","OTU_1788"
"824","OTU_1824"
"825","OTU_1800"
"826","OTU_1838"
"827","OTU_1818"
"828","OTU_1821"
"829","OTU_1832"
"830","OTU_1833"
"831","OTU_1820"
"832","OTU_1654"
"833","OTU_1284"
"834","OTU_1435"
"835","OTU_1495"
"836","OTU_1292"
"837","OTU_1544"
"838","OTU_1574"
"839","OTU_1022"
"840","OTU_1489"
"841","OTU_1197"
"842","OTU_950"
"843","OTU_1694"
"844","OTU_1122"
"845","OTU_1577"
"846","OTU_1269"
"847","OTU_1490"
"848","OTU_1454"
"849","OTU_1421"
"850","OTU_1660"
"851","OTU_1090"
"852","OTU_1443"
"853","OTU_1184"
"854","OTU_1484"
"855","OTU_1415"
"856","OTU_1661"
"857","OTU_1617"
"858","OTU_1249"
"859","OTU_1626"
"860","OTU_1079"
"861","OTU_1449"
"862","OTU_1349"
"863","OTU_1478"
"864","OTU_1693"
"865","OTU_1338"
"866","OTU_1262"
"867","OTU_1263"
"868","OTU_1096"
"869","OTU_1158"
"870","OTU_1486"
"871","OTU_1753"
"872","OTU_1300"
"873","OTU_1174"
"874","OTU_1604"
"875","OTU_1656"
"876","OTU_1448"
"877","OTU_1106"
"878","OTU_1446"
"879","OTU_1258"
"880","OTU_1110"
"881","OTU_948"
"882","OTU_1103"
"883","OTU_1676"
"884","OTU_1596"
"885","OTU_1052"
"886","OTU_1255"
"887","OTU_1295"
"888","OTU_1189"
"889","OTU_1198"
"890","OTU_1298"
"891","OTU_1303"
"892","OTU_1594"
"893","OTU_1677"
"894","OTU_1256"
"895","OTU_1467"
"896","OTU_1717"
"897","OTU_1333"
"898","OTU_1297"
"899","OTU_1710"
"900","OTU_1212"
"901","OTU_1340"
"902","OTU_1019"
"903","OTU_1347"
"904","OTU_1889"
"905","OTU_1899"
"906","OTU_1638"
"907","OTU_1328"
"908","OTU_1520"
"909","OTU_1619"
"910","OTU_1637"
"911","OTU_1240"
"912","OTU_1513"
"913","OTU_1406"
"914","OTU_1692"
"915","OTU_1239"
"916","OTU_1404"
"917","OTU_1224"
"918","OTU_1388"
"919","OTU_1341"
"920","OTU_1403"
"921","OTU_1477"
"922","OTU_1523"
"923","OTU_1228"
"924","OTU_1407"
"925","OTU_1590"
"926","OTU_1354"
"927","OTU_1540"
"928","OTU_1525"
"929","OTU_1012"
"930","OTU_1531"
"931","OTU_945"
"932","OTU_1078"
"933","OTU_1036"
"934","OTU_961"
"935","OTU_1521"
"936","OTU_1285"
"937","OTU_1356"
"938","OTU_1469"
"939","OTU_1734"
"940","OTU_1370"
"941","OTU_1739"
"942","OTU_1736"
"943","OTU_1311"
"944","OTU_1570"
"945","OTU_1331"
"946","OTU_1749"
"947","OTU_1067"
"948","OTU_1097"
"949","OTU_1088"
"950","OTU_1518"
"951","OTU_1754"
"952","OTU_1028"
"953","OTU_1776"
"954","OTU_1242"
"955","OTU_1153"
"956","OTU_1217"
"957","OTU_1274"
"958","OTU_1173"
"959","OTU_1561"
"960","OTU_1085"
"961","OTU_1172"
"962","OTU_1562"
"963","OTU_1278"
"964","OTU_1327"
"965","OTU_1120"
"966","OTU_1538"
"967","OTU_1546"
"968","OTU_1517"
"969","OTU_1032"
"970","OTU_1630"
"971","OTU_1698"
"972","OTU_986"
"973","OTU_1593"
"974","OTU_1271"
"975","OTU_1130"
"976","OTU_1713"
"977","OTU_1551"
"978","OTU_1558"
"979","OTU_1552"
"980","OTU_981"
"981","OTU_956"
"982","OTU_1678"
"983","OTU_1192"
"984","OTU_1342"
"985","OTU_1580"
"986","OTU_1033"
"987","OTU_1657"
"988","OTU_1247"
"989","OTU_1720"
"990","OTU_1030"
"991","OTU_1320"
"992","OTU_1605"
"993","OTU_1154"
"994","OTU_1281"
"995","OTU_1579"
"996","OTU_1344"
"997","OTU_1771"
"998","OTU_1243"
"999","OTU_3492"
"1000","OTU_1253"
"1001","OTU_979"
"1002","OTU_1402"
"1003","OTU_1136"
"1004","OTU_1542"
"1005","OTU_1857"
"1006","OTU_1851"
"1007","OTU_1883"
"1008","OTU_1092"
"1009","OTU_1704"
"1010","OTU_1743"
"1011","OTU_1063"
"1012","OTU_1501"
"1013","OTU_1232"
"1014","OTU_1459"
"1015","OTU_1721"
"1016","OTU_1348"
"1017","OTU_1428"
"1018","OTU_1277"
"1019","OTU_1522"
"1020","OTU_1265"
"1021","OTU_1503"
"1022","OTU_1123"
"1023","OTU_1316"
"1024","OTU_1142"
"1025","OTU_1310"
"1026","OTU_1682"
"1027","OTU_1137"
"1028","OTU_1554"
"1029","OTU_1591"
"1030","OTU_952"
"1031","OTU_1355"
"1032","OTU_1722"
"1033","OTU_1075"
"1034","OTU_1584"
"1035","OTU_1456"
"1036","OTU_1509"
"1037","OTU_1599"
"1038","OTU_1121"
"1039","OTU_1335"
"1040","OTU_1690"
"1041","OTU_1109"
"1042","OTU_1724"
"1043","OTU_1482"
"1044","OTU_1029"
"1045","OTU_1039"
"1046","OTU_1488"
"1047","OTU_1317"
"1048","OTU_1491"
"1049","OTU_1497"
"1050","OTU_944"
"1051","OTU_1763"
"1052","OTU_1214"
"1053","OTU_1373"
"1054","OTU_1777"
"1055","OTU_1011"
"1056","OTU_1150"
"1057","OTU_1124"
"1058","OTU_1750"
"1059","OTU_1430"
"1060","OTU_1235"
"1061","OTU_1485"
"1062","OTU_1175"
"1063","OTU_1359"
"1064","OTU_1181"
"1065","OTU_1233"
"1066","OTU_1784"
"1067","OTU_1772"
"1068","OTU_1034"
"1069","OTU_1112"
"1070","OTU_1379"
"1071","OTU_1770"
"1072","OTU_1007"
"1073","OTU_1759"
"1074","OTU_1213"
"1075","OTU_1740"
"1076","OTU_1314"
"1077","OTU_1071"
"1078","OTU_1502"
"1079","OTU_1119"
"1080","OTU_1064"
"1081","OTU_1487"
"1082","OTU_1506"
"1083","OTU_1053"
"1084","OTU_1483"
"1085","OTU_1779"
"1086","OTU_1143"
"1087","OTU_1493"
"1088","OTU_1775"
"1089","OTU_1773"
"1090","OTU_1101"
"1091","OTU_1760"
"1092","OTU_1126"
"1093","OTU_1745"
"1094","OTU_1095"
"1095","OTU_1076"
"1096","OTU_1505"
"1097","OTU_1778"
"1098","OTU_1372"
"1099","OTU_1234"
"1100","OTU_1315"
"1101","OTU_1378"
"1102","OTU_1148"
"1103","OTU_1266"
"1104","OTU_1167"
"1105","OTU_1377"
"1106","OTU_1054"
"1107","OTU_1742"
"1108","OTU_1166"
"1109","OTU_1371"
"1110","OTU_1585"
"1111","OTU_1431"
"1112","OTU_1854"
"1113","OTU_1872"
"1114","OTU_1195"
"1115","OTU_1621"
"1116","OTU_1420"
"1117","OTU_1625"
"1118","OTU_1697"
"1119","OTU_1646"
"1120","OTU_1422"
"1121","OTU_1345"
"1122","OTU_1049"
"1123","OTU_1645"
"1124","OTU_1059"
"1125","OTU_1669"
"1126","OTU_1204"
"1127","OTU_1672"
"1128","OTU_1250"
"1129","OTU_1264"
"1130","OTU_1622"
"1131","OTU_1494"
"1132","OTU_947"
"1133","OTU_971"
"1134","OTU_1062"
"1135","OTU_1301"
"1136","OTU_1475"
"1137","OTU_1515"
"1138","OTU_1334"
"1139","OTU_1689"
"1140","OTU_1114"
"1141","OTU_1528"
"1142","OTU_1571"
"1143","OTU_1536"
"1144","OTU_1748"
"1145","OTU_1042"
"1146","OTU_1183"
"1147","OTU_1086"
"1148","OTU_1337"
"1149","OTU_1211"
"1150","OTU_1441"
"1151","OTU_1178"
"1152","OTU_1555"
"1153","OTU_1683"
"1154","OTU_1193"
"1155","OTU_1434"
"1156","OTU_1733"
"1157","OTU_1723"
"1158","OTU_1200"
"1159","OTU_1201"
"1160","OTU_1020"
"1161","OTU_1709"
"1162","OTU_1367"
"1163","OTU_1270"
"1164","OTU_1041"
"1165","OTU_1361"
"1166","OTU_1332"
"1167","OTU_1655"
"1168","OTU_1592"
"1169","OTU_1081"
"1170","OTU_1394"
"1171","OTU_1392"
"1172","OTU_1325"
"1173","OTU_1138"
"1174","OTU_1058"
"1175","OTU_1035"
"1176","OTU_1074"
"1177","OTU_1060"
"1178","OTU_1595"
"1179","OTU_1553"
"1180","OTU_938"
"1181","OTU_974"
"1182","OTU_973"
"1183","OTU_993"
"1184","OTU_965"
"1185","OTU_975"
"1186","OTU_997"
"1187","OTU_994"
"1188","OTU_1650"
"1189","OTU_995"
"1190","OTU_959"
"1191","OTU_996"
"1192","OTU_951"
"1193","OTU_984"
"1194","OTU_991"
"1195","OTU_980"
"1196","OTU_957"
"1197","OTU_960"
"1198","OTU_987"
"1199","OTU_949"
"1200","OTU_943"
"1201","OTU_1061"
"1202","OTU_1133"
"1203","OTU_1572"
"1204","OTU_1529"
"1205","OTU_1608"
"1206","OTU_1383"
"1207","OTU_1329"
"1208","OTU_1400"
"1209","OTU_1128"
"1210","OTU_1219"
"1211","OTU_1218"
"1212","OTU_1481"
"1213","OTU_1549"
"1214","OTU_1641"
"1215","OTU_1002"
"1216","OTU_1408"
"1217","OTU_1576"
"1218","OTU_1099"
"1219","OTU_1146"
"1220","OTU_1816"
"1221","OTU_1203"
"1222","OTU_1326"
"1223","OTU_1390"
"1224","OTU_1399"
"1225","OTU_1476"
"1226","OTU_1068"
"1227","OTU_1731"
"1228","OTU_1134"
"1229","OTU_1730"
"1230","OTU_1069"
"1231","OTU_1729"
"1232","OTU_1065"
"1233","OTU_1241"
"1234","OTU_1024"
"1235","OTU_1472"
"1236","OTU_1609"
"1237","OTU_1583"
"1238","OTU_1696"
"1239","OTU_1714"
"1240","OTU_1105"
"1241","OTU_1188"
"1242","OTU_1330"
"1243","OTU_1056"
"1244","OTU_1282"
"1245","OTU_1164"
"1246","OTU_1145"
"1247","OTU_1550"
"1248","OTU_1089"
"1249","OTU_1519"
"1250","OTU_1397"
"1251","OTU_1091"
"1252","OTU_1323"
"1253","OTU_1545"
"1254","OTU_1537"
"1255","OTU_1623"
"1256","OTU_1026"
"1257","OTU_1498"
"1258","OTU_1758"
"1259","OTU_1116"
"1260","OTU_999"
