"ID","Bin","TaxonRelativeAbundance","Kingdom","Phylum","Class","Order","Family","Genus"
"OTU_77","Bin2",3.53960684362515e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_71","Bin1",4.38796112039338e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_70","Bin70",2.63569803974726e-06,"Bacteria","Marinimicrobia__(SAR406__clade)","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_76","Bin123",5.27428901944832e-06,"Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","uncultured","uncultured__bacterium"
"OTU_78","Bin1",4.17029355884287e-06,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","uncultured"
"OTU_80","Bin98",3.67671014461061e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Oceanirhabdus"
"OTU_81","Bin87",1.95840355993172e-05,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup__23"
"OTU_79","Bin83",2.5803517724505e-05,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacter"
"OTU_82","Bin25",8.46839565234444e-06,"Bacteria","Latescibacterota","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_84","Bin25",2.2289214151893e-06,"Bacteria","Latescibacterota","uncultured__Bacteroidetes__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_85","Bin1",3.88863404252535e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","PBS-18","uncultured__bacterium"
"OTU_86","Bin25",1.2024149417774e-06,"Bacteria","Latescibacterota","uncultured__Bacteroidetes__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_90","Bin105",3.58159990601368e-06,"Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","metagenome"
"OTU_88","Bin87",5.07276039485046e-06,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup__23"
"OTU_89","Bin81",7.96077657945747e-06,"Bacteria","NKB15","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_83","Bin2",2.64969758587069e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_91","Bin2",1.97333289621199e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_87","Bin25",1.30837298373868e-05,"Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","uncultured__bacterium"
"OTU_94","Bin124",5.42969697737662e-06,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","uncultured__bacterium"
"OTU_95","Bin1",8.96994682243874e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","LK-44f","uncultured__bacterium"
"OTU_97","Bin3",1.2491703773161e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","LK-44f","uncultured__bacterium"
"OTU_92","Bin25",4.22632019805358e-06,"Bacteria","Latescibacterota","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_93","Bin69",5.29412139944412e-06,"Bacteria","Actinobacteriota","WCHB1-81","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_96","Bin7",4.15747276284155e-06,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Sphaerochaeta"
"OTU_98","Bin2",1.61809046260916e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_102","Bin1",2.38077148410445e-06,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Draconibacterium"
"OTU_103","Bin2",4.00117701015002e-07,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__organism"
"OTU_100","Bin68",1.76233137601634e-06,"Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","uncultured__organism","uncultured__bacterium"
"OTU_104","Bin2",4.58933638400081e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_99","Bin2",2.19397135335769e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","NK-L14","uncultured__bacterium"
"OTU_109","Bin2",4.18505986308261e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","LK-44f","uncultured__bacterium"
"OTU_106","Bin1",7.34079014861284e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","Candidatus__Cloacimonas"
"OTU_108","Bin1",2.40420850183794e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_105","Bin105",1.90291582190606e-05,"Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","uncultured__bacterium"
"OTU_107","Bin1",2.83838279871383e-06,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","uncultured__bacterium"
"OTU_101","Bin1",2.01341638685998e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_110","Bin1",1.57800261827092e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","SHA-4","uncultured__bacterium"
"OTU_112","Bin105",1.74420784647903e-05,"Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","uncultured__bacterium"
"OTU_111","Bin2",2.78684492401604e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_114","Bin1",9.78306770564099e-07,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","uncultured__bacterium"
"OTU_115","Bin2",2.40400338700684e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_113","Bin2",1.60896623159123e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_116","Bin2",5.92404674471889e-07,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","LK-44f","uncultured__organism"
"OTU_120","Bin124",8.1099727967231e-06,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes__vadinHA17","uncultured__bacterium"
"OTU_121","Bin81",2.78684903205115e-06,"Bacteria","NKB15","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_122","Bin2",4.55597100969271e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","Candidatus__Cloacimonas"
"OTU_119","Bin70",1.61343052181932e-06,"Bacteria","Marinimicrobia__(SAR406__clade)","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_118","Bin105",2.84093920834024e-06,"Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","uncultured__bacterium"
"OTU_125","Bin1",5.76956109776223e-07,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_123","Bin1",3.20573581714152e-06,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","uncultured__bacterium"
"OTU_127","Bin1",8.40224586288611e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","LK-44f","uncultured__bacterium"
"OTU_126","Bin105",6.65203645211658e-06,"Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","uncultured__bacterium"
"OTU_124","Bin2",3.98256346384231e-07,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","bacterium__enrichment__culture__clone__E23"
"OTU_129","Bin85",0.000501441867750811,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"OTU_130","Bin110",0.000319080281724338,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured__bacterium"
"OTU_132","Bin75",0.0784649555116722,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"OTU_135","Bin70",6.31634014227393e-05,"Bacteria","Marinimicrobia__(SAR406__clade)","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_136","Bin85",0.000331281713183915,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfomicrobiaceae","Desulfomicrobium"
"OTU_128","Bin85",0.000175540569577481,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"OTU_131","Bin82",0.000447588627978035,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbus"
"OTU_133","Bin84",8.14844595973881e-05,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"OTU_137","Bin95",0.000210618849146951,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","uncultured"
"OTU_134","Bin71",0.0468042051699175,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
"OTU_138","Bin82",0.0001624465861285,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfofustis"
"OTU_140","Bin125",5.76917487305348e-05,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","uncultured"
"OTU_139","Bin24",7.69686923679084e-05,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","LD1-PB3","uncultured__bacterium","uncultured__bacterium"
"OTU_143","Bin83",0.000209088858076683,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacter"
"OTU_141","Bin93",0.047947366651534,"Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium"
"OTU_145","Bin83",0.000134325368758761,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfotignum"
"OTU_142","Bin84",6.45706329154067e-05,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"OTU_146","Bin85",0.000123103386083794,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"OTU_144","Bin85",5.97664592256823e-05,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfomicrobiaceae","Desulfomicrobium"
"OTU_147","Bin83",0.000100682474350108,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","uncultured"
"OTU_151","Bin84",1.96914898635969e-05,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"OTU_152","Bin83",2.75207225289107e-05,"Bacteria","Desulfobacterota","Desulfarculia","Desulfarculales","Desulfarculaceae","Dethiosulfatarculus"
"OTU_148","Bin83",0.000150447075594315,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfotignum"
"OTU_149","Bin84",4.001828474895e-05,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"OTU_155","Bin82",4.42215793095026e-05,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","uncultured"
"OTU_156","Bin94",0.0194538810577553,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Trichococcus"
"OTU_154","Bin23",0.000116768585394545,"Bacteria","Caldatribacteriota","JS1","uncultured__organism","uncultured__bacterium","uncultured__bacterium"
"OTU_150","Bin125",6.27076525975762e-05,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","uncultured"
"OTU_157","Bin73",0.0242096736348358,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"OTU_158","Bin70",4.91967262425673e-05,"Bacteria","Marinimicrobia__(SAR406__clade)","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_159","Bin22",3.73182956806176e-05,"Bacteria","Caldisericota","Caldisericia","Caldisericales","WCHB1-02","uncultured__bacterium"
"OTU_160","Bin82",5.60841445367097e-05,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","uncultured"
"OTU_153","Bin70",0.000112397588221144,"Bacteria","Marinimicrobia__(SAR406__clade)","uncultured__eubacterium__AB16","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_161","Bin82",2.22552561277043e-05,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbus"
"OTU_162","Bin23",7.05992368029522e-05,"Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","uncultured__bacterium","uncultured__bacterium"
"OTU_163","Bin125",3.29145712240059e-05,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Sunxiuqinia"
"OTU_164","Bin85",0.000142764652919887,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"OTU_165","Bin70",8.57493197480814e-06,"Bacteria","Marinimicrobia__(SAR406__clade)","uncultured__eubacterium__AB16","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_166","Bin81",2.44731785275632e-05,"Bacteria","Desulfobacterota","Desulfuromonadia","Syntrophotaleaceae","Syntrophotalea","Pelobacter__venetianus"
"OTU_167","Bin80",2.51902929329583e-05,"Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae","uncultured__bacterium"
"OTU_174","Bin94",1.78510749946925e-05,"Bacteria","Firmicutes","D8A-2","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_175","Bin84",7.74652565051518e-06,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"OTU_170","Bin83",4.17161803647694e-05,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Desulfatitalea"
"OTU_169","Bin82",2.73308128278165e-05,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbus"
"OTU_178","Bin71",6.74592614262576e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Psychromonadaceae","Psychromonas"
"OTU_168","Bin83",5.04688236514694e-05,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","uncultured"
"OTU_172","Bin82",3.77984391250481e-05,"Bacteria","Desulfobacterota","Syntrophia","Syntrophales","Smithellaceae","Smithella"
"OTU_176","Bin83",1.2593093913643e-05,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","uncultured"
"OTU_171","Bin83",1.26244391851185e-05,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacterium"
"OTU_177","Bin24",2.12805262014773e-05,"Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","uncultured__organism","uncultured__bacterium"
"OTU_179","Bin105",1.70660132167837e-05,"Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","bacterium__YC-ZSS-LKJ186"
"OTU_180","Bin85",4.7183652722015e-06,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfoplanaceae","Desulfoplanes"
"OTU_173","Bin83",2.87708730092515e-05,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Desulfosarcina"
"OTU_181","Bin85",7.70418935356393e-05,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"OTU_185","Bin83",1.66554391534006e-05,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacterium"
"OTU_182","Bin23",1.60206087914679e-05,"Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","uncultured__bacterium","uncultured__bacterium"
"OTU_183","Bin25",1.53470867181073e-05,"Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","uncultured__bacterium"
"OTU_184","Bin83",4.98483486086708e-06,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacterium"
