Bin,BinRA,TopTaxonID,TopTaxonRAinBin,TopTaxon.Kingdom,TopTaxon.Phylum,TopTaxon.Class,TopTaxon.Order,TopTaxon.Family,TopTaxon.Genus,Kingdom.maxNamed,Kingdom.maxNamed.Percent,Phylum.maxNamed,Phylum.maxNamed.Percent,Class.maxNamed,Class.maxNamed.Percent,Order.maxNamed,Order.maxNamed.Percent,Family.maxNamed,Family.maxNamed.Percent,Genus.maxNamed,Genus.maxNamed.Percent
Bin13,0.001042888,OTU_3309,0.362316915,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,uncultured,marine__sediment__metagenome,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,1,uncultured,0.991233618,marine__sediment__metagenome,0.930002836
Bin14,0.000383734,OTU_2338,0.404839221,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,uncultured__bacterium,Bacteria,1,Chloroflexi,0.98001832,Chloroflexia,0.932420299,Thermomicrobiales,0.932420299,JG30-KF-CM45,0.925633419,uncultured__bacterium,0.858032173
Bin15,0.000526021,OTU_2113,0.183884889,Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,uncultured__Chloroflexi__bacterium,uncultured__bacterium,Bacteria,1,Chloroflexi,1,Anaerolineae,1,RBG-13-54-9,0.942807885,uncultured__bacterium,0.608877567,uncultured__bacterium,1
Bin16,0.001615512,OTU_2596,0.49598838,Bacteria,Chloroflexi,Anaerolineae,SBR1031,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Chloroflexi,1,Anaerolineae,1,SBR1031,1,uncultured__bacterium,0.863226929,uncultured__bacterium,0.994971605
Bin17,0.001901988,OTU_2904,0.36730084,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,Bacteria,1,Chloroflexi,1,Anaerolineae,1,Anaerolineales,1,Anaerolineaceae,1,ADurb.Bin120,0.542216835
Bin18,0.000960075,OTU_2605,0.400324405,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,Bacteria,1,Chloroflexi,1,Anaerolineae,1,Anaerolineales,1,Anaerolineaceae,1,uncultured,0.659353809
Bin19,0.000714515,OTU_2613,0.409788213,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,Bacteria,1,Chloroflexi,1,Anaerolineae,1,Anaerolineales,1,Anaerolineaceae,1,uncultured,0.984289569
Bin20,0.000213799,OTU_2343,0.246611432,Bacteria,Chloroflexi,Anaerolineae,SBR1031,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Chloroflexi,1,Anaerolineae,1,SBR1031,1,uncultured__bacterium,0.611955668,uncultured__bacterium,1
Bin21,0.000792862,OTU_2925,0.172805216,Bacteria,Chloroflexi,KD4-96,uncultured__bacterium,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Chloroflexi,0.973645638,Anaerolineae,0.654378449,uncultured__bacterium,0.336203447,uncultured__bacterium,0.716598072,uncultured__bacterium,0.842085732
Bin22,0.001258859,OTU_2056,0.570664708,Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,SC103,Bacteria,1,Thermotogota,0.957338307,Thermotogae,0.957338307,Petrotogales,0.825068242,Petrotogaceae,0.825068242,SC103,0.825068242
Bin23,0.000442726,OTU_154,0.263749305,Bacteria,Caldatribacteriota,JS1,uncultured__organism,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Acidobacteriota,0.635360286,Aminicenantia,0.635360286,Aminicenantales,0.635360286,uncultured__bacterium,0.978107505,uncultured__bacterium,0.978107505
Bin24,0.000445395,OTU_2367,0.199367521,Bacteria,Verrucomicrobiota,Lentisphaeria,P.palmC41,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Verrucomicrobiota,0.787261027,Lentisphaeria,0.289707446,P.palmC41,0.261489048,uncultured__bacterium,0.743192574,uncultured__bacterium,0.87773366
Bin25,0.000240575,OTU_24,0.131185525,Bacteria,Latescibacterota,uncultured__bacterium,uncultured__bacterium,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Latescibacterota,1,uncultured__bacterium,0.547743595,uncultured__bacterium,0.719620656,uncultured__bacterium,0.719620656,uncultured__bacterium,1
Bin26,0.000359208,OTU_807,0.366274099,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured__bacterium,Bacteria,1,Actinobacteriota,0.886501331,Thermoleophilia,0.843044009,Gaiellales,0.843044009,uncultured,0.777511157,uncultured__bacterium,0.784842914
Bin27,0.00079833,OTU_2597,0.487660328,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,Bacteria,1,Actinobacteriota,1,Acidimicrobiia,0.820248584,Microtrichales,0.658153442,Ilumatobacteraceae,0.532775996,Ilumatobacter,0.532775996
Bin28,0.000614581,OTU_1960,0.519860952,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Brooklawnia,Bacteria,1,Actinobacteriota,1,Actinobacteria,1,Propionibacteriales,1,Propionibacteriaceae,0.818641969,Brooklawnia,0.525349741
Bin29,0.001405326,OTU_1935,0.491393781,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Bogoriellaceae,Georgenia,Bacteria,1,Actinobacteriota,1,Actinobacteria,1,Micrococcales,0.840422057,Bogoriellaceae,0.607739658,Georgenia,0.607739658
Bin30,0.000650769,OTU_1953,0.144413844,Bacteria,Actinobacteriota,Actinobacteria,PeM15,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Actinobacteriota,1,Actinobacteria,1,Corynebacteriales,0.515935865,uncultured__bacterium,0.291039625,uncultured__bacterium,0.302446203
Bin31,0.000447758,OTU_2921,0.35423872,Bacteria,Actinobacteriota,Coriobacteriia,OPB41,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Actinobacteriota,0.920171971,Coriobacteriia,0.892089489,OPB41,0.662497228,uncultured__bacterium,0.521220099,uncultured__bacterium,0.786718678
Bin32,0.00029606,OTU_1102,0.171858048,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Flavobacteriales,1,Flavobacteriaceae,1,Actibacter,0.181434244
Bin33,0.005583626,OTU_953,0.860536383,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Marinifilaceae,1,Marinifilum,1
Bin34,0.042127067,OTU_941,0.961699608,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Marinifilaceae,0.998961991,Marinifilum,0.998929122
Bin35,0.001200804,OTU_1822,0.85020224,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,uncultured,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Marinilabiliaceae,0.934064105,uncultured,0.930065857
Bin36,0.000922554,OTU_1814,0.423611569,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,uncultured,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,0.998934155,Marinilabiliaceae,0.965469495,uncultured,0.965469495
Bin37,8.85E-05,OTU_1083,0.196021986,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae__RC9__gut__group,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Rikenellaceae,0.964224807,uncultured,0.768202821
Bin38,0.000772304,OTU_1016,0.400669667,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,uncultured,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,0.981845795,Rikenellaceae,0.915804869,uncultured,0.729540811
Bin39,0.002265977,OTU_1010,0.863864659,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,uncultured,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Marinifilaceae,0.975686702,uncultured,0.977878366
Bin40,0.000153928,OTU_1080,0.197210586,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,uncultured,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Muribaculaceae,0.722854517,uncultured__bacterium,0.722854517
Bin41,0.00108172,OTU_1015,0.604537452,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Marinilabiliaceae,0.957939116,Carboxylicivirga,0.957939116
Bin42,0.000423822,OTU_1008,0.515764676,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Bacteroidaceae,0.845441536,Bacteroides,0.845441536
Bin43,0.000964593,OTU_1051,0.274524054,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Sunxiuqinia,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,0.898090709,Prolixibacteraceae,0.592014112,Sunxiuqinia,0.274524054
Bin44,0.000327746,OTU_1023,0.497258662,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Williamwhitmaniaceae,Blvii28__wastewater-sludge__group,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Williamwhitmaniaceae,0.922139492,Blvii28__wastewater-sludge__group,0.922139492
Bin45,0.000417359,OTU_1788,0.44053346,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,uncultured,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,0.580084431,Marinilabiliaceae,0.574143828,uncultured,0.580084431
Bin46,0.013412351,OTU_950,0.609912472,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteria,1,Bacteroidota,0.991126757,Bacteroidia,0.991126757,Bacteroidales,0.991126757,Bacteroidaceae,0.990091009,Bacteroides,0.990091009
Bin47,0.000357435,OTU_1096,0.300287164,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Sunxiuqinia,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,0.694734345,Prolixibacteraceae,0.517331282,Sunxiuqinia,0.46472047
Bin48,0.002604304,OTU_948,0.890674662,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,uncultured__bacterium,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Sphingobacteriales,0.920678533,Lentimicrobiaceae,0.91937133,uncultured__bacterium,0.920723184
Bin49,0.000251007,OTU_1019,0.741263203,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,uncultured,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Marinilabiliaceae,0.87017154,uncultured,0.86289882
Bin50,0.002102183,OTU_1012,0.645432414,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,uncultured,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,0.987546204,Marinilabiliaceae,0.963584005,uncultured,0.959928564
Bin51,0.000702549,OTU_1032,0.202274548,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,uncultured,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Prolixibacteraceae,1,uncultured,0.531233989
Bin52,0.000917228,OTU_1030,0.244688215,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Prolixibacteraceae,0.968718722,Draconibacterium,0.938041263
Bin53,0.003116927,OTU_952,0.862097456,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Mangrovibacterium,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Prolixibacteraceae,0.996292123,Mangrovibacterium,0.996292123
Bin54,0.048353726,OTU_944,0.931616681,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Sunxiuqinia,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Prolixibacteraceae,0.999098701,Sunxiuqinia,0.998926625
Bin55,0.000692633,OTU_1020,0.34870125,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Roseimarinus,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Prolixibacteraceae,0.787059666,Roseimarinus,0.474291636
Bin56,0.008230342,OTU_947,0.877634,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,0.998348487,Prolixibacteraceae,0.954477715,Draconibacterium,0.943403542
Bin57,0.00452424,OTU_938,0.686471992,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes__vadinHA17,uncultured__bacterium,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Bacteroidetes__vadinHA17,0.992462871,uncultured__bacterium,0.918626913
Bin58,0.00029181,OTU_1024,0.561884668,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,uncultured,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidales,1,Marinilabiliaceae,0.976499684,uncultured,0.976499684
Bin59,0.001423644,OTU_1002,0.278872387,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,Labilibacter,Bacteria,1,Bacteroidota,1,Bacteroidia,0.862319794,Bacteroidales,0.799474114,Marinilabiliaceae,0.398177586,Labilibacter,0.289152054
Bin60,0.000178527,OTU_1031,0.338565893,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Sphingobacteriales,1,Lentimicrobiaceae,0.869466512,Lentimicrobium,0.382204748
Bin61,0.001114799,OTU_1018,0.374869776,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,uncultured__bacterium,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Sphingobacteriales,0.949894768,Lentimicrobiaceae,0.9431061,uncultured__bacterium,0.470168426
Bin62,0.001389042,OTU_1017,0.49254273,Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes__VC2.1__Bac22,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Bacteroidota,1,Bacteroidia,1,Bacteroidetes__VC2.1__Bac22,0.550214282,uncultured__bacterium,0.550214282,uncultured__bacterium,0.856718113
Bin63,0.000162133,OTU_2384,0.114854871,Bacteria,Patescibacteria,ABY1,Candidatus__Falkowbacteria,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Patescibacteria,1,ABY1,0.746254005,Candidatus__Falkowbacteria,0.639129878,uncultured__bacterium,0.717594305,uncultured__bacterium,1
Bin64,0.000275079,OTU_3474,0.15454899,Bacteria,Patescibacteria,WWE3,uncultured__candidate__division__WWE3__bacterium,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Patescibacteria,1,WWE3,0.651001496,uncultured__candidate__division__WWE3__bacterium,0.347845722,uncultured__bacterium,0.954788915,uncultured__bacterium,1
Bin65,0.000601659,OTU_2115,0.305342753,Bacteria,Patescibacteria,Dojkabacteria,uncultured__anaerobic__bacterium,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Patescibacteria,1,Dojkabacteria,0.995334185,uncultured__bacterium,0.465659563,uncultured__bacterium,1,uncultured__bacterium,1
Bin66,0.000178067,OTU_2916,0.290539624,Bacteria,Patescibacteria,Gracilibacteria,JGI__0000069-P22,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Patescibacteria,0.740386472,Gracilibacteria,0.740386472,JGI__0000069-P22,0.311892213,uncultured__bacterium,0.790791264,uncultured__bacterium,0.993194654
Bin67,0.000100356,OTU_2760,0.159798071,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Patescibacteria,1,Saccharimonadia,0.972066685,Saccharimonadales,0.972066685,uncultured__bacterium,0.638693134,uncultured__bacterium,0.716668111
Bin68,5.33E-05,OTU_1118,0.20722084,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Cyanobacteria,0.81276362,Vampirivibrionia,0.81276362,Gastranaerophilales,0.81276362,uncultured__bacterium,0.71008942,uncultured__bacterium,0.81276362
Bin69,0.00158027,OTU_2045,0.839608097,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Cyanobacteria,0.926709479,Vampirivibrionia,0.926709479,Gastranaerophilales,0.926709479,uncultured__bacterium,0.93069743,uncultured__bacterium,0.992265814
Bin70,0.000472869,OTU_153,0.237693,Bacteria,Marinimicrobia__(SAR406__clade),uncultured__eubacterium__AB16,uncultured__bacterium,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Marinimicrobia__(SAR406__clade),0.717786167,uncultured__bacterium,0.522596656,uncultured__bacterium,0.841320506,uncultured__bacterium,0.86296003,uncultured__bacterium,0.929871337
Bin71,0.063457255,OTU_134,0.737570597,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.970944887,Shewanellaceae,0.922820328,Shewanella,0.922742909
Bin72,0.001344969,OTU_402,0.283056774,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Vibrionales,1,Vibrionaceae,1,Vibrio,0.949447912
Bin73,0.047764586,OTU_157,0.506854045,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Vibrionales,1,Vibrionaceae,1,Vibrio,1
Bin74,0.006442681,OTU_385,0.286016286,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Vibrionales,1,Vibrionaceae,1,Vibrio,1
Bin75,0.163820627,OTU_9,0.515085128,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Vibrionales,1,Vibrionaceae,1,Vibrio,0.999937711
Bin76,0.000348791,OTU_486,0.11621573,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Burkholderiales,0.725267104,Comamonadaceae,0.233017939,Thauera,0.125534848
Bin77,0.001635681,OTU_2689,0.822495893,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Candidatus__Riegeria,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,0.988828867,Rhodospirillales,0.941498984,Rhodospirillaceae,0.941498984,Candidatus__Riegeria,0.939538863
Bin78,0.006180249,OTU_2664,0.300268289,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Seohaeicola,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhodobacterales,0.870974681,Rhodobacteraceae,0.870974681,uncultured,0.304093935
Bin79,0.000589874,OTU_2907,0.296498345,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Labrenzia,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhizobiales,0.471184408,Sphingomonadaceae,0.327777003,Labrenzia,0.296498345
Bin80,0.000466562,OTU_2102,0.707074805,Bacteria,SAR324__clade(Marine__group__B),uncultured__bacterium,uncultured__bacterium,uncultured__bacterium,uncultured__bacterium,Bacteria,1,SAR324__clade(Marine__group__B),0.863099112,uncultured__bacterium,0.793616478,uncultured__bacterium,0.869583786,uncultured__bacterium,0.869583786,uncultured__bacterium,0.970807511
Bin81,0.000160966,OTU_166,0.152039334,Bacteria,Desulfobacterota,Desulfuromonadia,Syntrophotaleaceae,Syntrophotalea,Pelobacter__venetianus,Bacteria,1,Myxococcota,0.406533743,Polyangia,0.287676103,uncultured__bacterium,0.224158377,uncultured__bacterium,0.410601047,uncultured__bacterium,0.495604319
Bin82,0.000856924,OTU_131,0.522320096,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,Bacteria,1,Desulfobacterota,1,Desulfobulbia,0.948566779,Desulfobulbales,0.948566779,Desulfobulbaceae,0.647636894,Desulfobulbus,0.596031875
Bin83,0.001053502,OTU_143,0.198470242,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter,Bacteria,1,Desulfobacterota,0.980758056,Desulfobacteria,0.933019394,Desulfobacterales,0.907995336,Desulfobacteraceae,0.54211919,Desulfotignum,0.271609368
Bin84,0.001318778,OTU_65,0.705795126,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Bacteria,1,Desulfobacterota,1,Desulfovibrionia,1,Desulfovibrionales,1,Desulfovibrionaceae,1,Desulfovibrio,1
Bin85,0.012323402,OTU_5,0.412193992,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Bacteria,1,Desulfobacterota,0.998296281,Desulfovibrionia,0.998234417,Desulfovibrionales,0.998234417,Desulfovibrionaceae,0.962886912,Desulfovibrio,0.74502966
Bin86,0.00016834,OTU_1943,0.255641646,Bacteria,Acidobacteriota,d142,uncultured__bacterium,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Acidobacteriota,0.615361903,Babeliae,0.309581911,Babeliales,0.309581911,uncultured__bacterium,0.539491398,uncultured__bacterium,0.658972608
Bin87,0.000430258,OTU_2110,0.509502399,Bacteria,Acidobacteriota,Subgroup__21,uncultured__bacterium,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Acidobacteriota,1,Subgroup__21,0.525493514,uncultured__bacterium,0.562259313,uncultured__bacterium,0.578117543,uncultured__bacterium,0.588332008
Bin88,0.001139627,OTU_2328,0.450304313,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Aminobacterium,Bacteria,1,Synergistota,0.859724744,Synergistia,0.859724744,Synergistales,0.859724744,Synergistaceae,0.859724744,Aminobacterium,0.465845817
Bin89,0.0153951,OTU_2763,0.55348316,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Oceanirhabdus,Bacteria,1,Firmicutes,1,Clostridia,0.999027008,Clostridiales,0.999027008,Clostridiaceae,0.9984635,Oceanirhabdus,0.599455728
Bin90,0.000493641,OTU_2917,0.230080545,Bacteria,Firmicutes,TSAC18,uncultured__bacterium,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Firmicutes,1,Clostridia,0.688425873,Christensenellales,0.688425873,Christensenellaceae,0.688425873,uncultured,0.567160872
Bin91,0.00083095,OTU_398,0.580718018,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,Bacteria,1,Firmicutes,1,Bacilli,1,Erysipelotrichales,1,Erysipelotrichaceae,0.985573628,Turicibacter,0.721983152
