"Bins","Group","Process","Relative importance","Family","Phylum","Rank_within_group_process"
"Bin54","D5","HoS",0.0320310343544554,"Prolixibacteraceae","Bacteroidota",3
"Bin94","D7","HoS",0.0316566250465147,"Carnobacteriaceae","Firmicutes",8
"Bin111","D0","DL",0.031192081826171,"Peptostreptococcaceae","Firmicutes",2
"Bin100","D0","DR",0.0294705716738997,"Fusobacteriaceae","Fusobacteriota",3
"Bin111","D0","DR",0.0273688985717498,"Peptostreptococcaceae","Firmicutes",4
"Bin54","D3","HoS",0.0273121649786819,"Prolixibacteraceae","Bacteroidota",3
"Bin75","D6","DR",0.0269744168942278,"Vibrionaceae","Proteobacteria",2
"Bin102","D1","DL",0.0264192840868757,"Dethiosulfatibacteraceae","Firmicutes",2
"Bin94","D7","DL",0.0261457350548855,"Carnobacteriaceae","Firmicutes",1
"Bin101","D1","HoS",0.0258186897505121,"Fusobacteriaceae","Fusobacteriota",7
"Bin56","D1","HoS",0.0254559811247651,"Prolixibacteraceae","Bacteroidota",8
"Bin57","D0","DL",0.0242036257270876,"Bacteroidetes__vadinHA17","Bacteroidota",3
"Bin48","D1","DL",0.0231997977716816,"Lentimicrobiaceae","Bacteroidota",3
"Bin89","D1","DR",0.0219643391825802,"Clostridiaceae","Firmicutes",2
"Bin102","D3","DR",0.0211626800057764,"Dethiosulfatibacteraceae","Firmicutes",3
"Bin102","D6","HoS",0.0207465691762006,"Dethiosulfatibacteraceae","Firmicutes",6
"Bin102","D1","HoS",0.020720423564575,"Dethiosulfatibacteraceae","Firmicutes",9
"Bin73","D5","HoS",0.0204579453679366,"Vibrionaceae","Proteobacteria",4
"Bin73","D6","DR",0.0193005967860979,"Vibrionaceae","Proteobacteria",3
"Bin50","D0","HoS",0.0185097465192656,"Marinilabiliaceae","Bacteroidota",2
"Bin56","D1","DL",0.0184479871398899,"Prolixibacteraceae","Bacteroidota",4
"Bin71","D7","DL",0.0182022567046799,"Shewanellaceae","Proteobacteria",2
"Bin92","D1","HoS",0.0181618059681112,"Izemoplasmataceae","Firmicutes",10
"Bin93","D7","DL",0.01799981559329,"Exiguobacteraceae","Firmicutes",3
"Bin57","D0","DR",0.0178079988831746,"Bacteroidetes__vadinHA17","Bacteroidota",5
"Bin56","D0","HoS",0.0172036287175767,"Prolixibacteraceae","Bacteroidota",3
"Bin34","D6","DR",0.0166878877815428,"Marinifilaceae","Bacteroidota",4
"Bin113","D0","DR",0.0166483466492427,"Fusibacteraceae","Firmicutes",6
"Bin107","D1","DL",0.0165891309341177,"uncultured","Firmicutes",5
"Bin73","D7","DL",0.0159514559868775,"Vibrionaceae","Proteobacteria",4
"Bin107","D0","HoS",0.0158906680276452,"uncultured","Firmicutes",4
"Bin39","D0","HoS",0.0154724809771861,"Marinifilaceae","Bacteroidota",5
"Bin100","D0","DL",0.0154437397631929,"Fusobacteriaceae","Fusobacteriota",4
"Bin109","D0","HoS",0.0150821236928578,"livecontrolB21","Firmicutes",6
"Bin69","D1","HoS",0.0148722171824192,"uncultured__bacterium","Cyanobacteria",11
"Bin71","D5","HoS",0.0145235197360455,"Shewanellaceae","Proteobacteria",5
"Bin73","D7","DR",0.0141222469414269,"Vibrionaceae","Proteobacteria",4
"Bin9","D1","HoS",0.0138503605645138,"Spirochaetaceae","Spirochaetota",12
"Bin107","D1","DR",0.0137636204801173,"uncultured","Firmicutes",3
"Bin85","D7","DR",0.0134383870570807,"Desulfovibrionaceae","Desulfobacterota",5
"Bin112","D6","HoS",0.0132780335358555,"Peptostreptococcaceae","Firmicutes",7
"Bin106","D0","DR",0.0129181007471027,"JTB215","Firmicutes",7
"Bin94","D0","DR",0.0125899665827577,"Carnobacteriaceae","Firmicutes",8
"Bin75","D5","DL",0.0124939635468737,"Vibrionaceae","Proteobacteria",2
"Bin46","D6","HoS",0.0122938582087932,"Bacteroidaceae","Bacteroidota",8
"Bin17","D0","DL",0.0122449614498756,"Anaerolineaceae","Chloroflexi",5
"Bin34","D3","HoS",0.0122413284181406,"Marinifilaceae","Bacteroidota",4
"Bin93","D7","DR",0.0121257668077391,"Exiguobacteraceae","Firmicutes",6
"Bin106","D0","DL",0.0120407935408672,"JTB215","Firmicutes",6
"Bin119","D6","HoS",0.0119723758650163,"Fusibacteraceae","Firmicutes",9
"Bin112","D7","HoS",0.011884589569803,"Peptostreptococcaceae","Firmicutes",9
"Bin102","D5","HoS",0.0118286906449912,"Dethiosulfatibacteraceae","Firmicutes",6
"Bin105","D0","HoS",0.011503363187456,"Fermentibacteraceae","Fermentibacterota",7
"Bin74","D6","DL",0.0114224505439825,"Vibrionaceae","Proteobacteria",1
"Bin113","D0","HoS",0.0113918922440008,"Fusibacteraceae","Firmicutes",8
"Bin112","D1","HoS",0.0112268468713817,"Peptostreptococcaceae","Firmicutes",13
"Bin113","D1","HoS",0.0111379369645698,"Fusibacteraceae","Firmicutes",14
"Bin33","D7","DL",0.0109638412076013,"Marinifilaceae","Bacteroidota",5
"Bin16","D0","DL",0.0109531641734371,"uncultured__bacterium","Chloroflexi",7
"Bin71","D6","DR",0.0101764011783227,"Shewanellaceae","Proteobacteria",5
"Bin122","D0","HoS",0.0100922837470671,"uncultured","Firmicutes",9
"Bin73","D6","DL",0.00987948568253052,"Vibrionaceae","Proteobacteria",2
"Bin8","D1","DL",0.00958401700192548,"Spirochaetaceae","Spirochaetota",6
"Bin9","D5","DL",0.00911109413327058,"Spirochaetaceae","Spirochaetota",3
"Bin85","D6","DR",0.00872131341694391,"Desulfovibrionaceae","Desulfobacterota",6
"Bin6","D5","HoS",0.00840627051595853,"Arcobacteraceae","Campilobacterota",7
"Bin122","D1","HoS",0.00819470953313284,"uncultured","Firmicutes",15
"Bin6","D3","HoS",0.00812781468673691,"Arcobacteraceae","Campilobacterota",5
"Bin85","D5","DR",0.00807028308603423,"Desulfovibrionaceae","Desulfobacterota",4
"Bin39","D1","HoS",0.00803920817138627,"Marinifilaceae","Bacteroidota",16
"Bin34","D6","HoS",0.0080340213375735,"Marinifilaceae","Bacteroidota",10
"Bin29","D0","DL",0.00784130598492091,"Bogoriellaceae","Actinobacteriota",8
"Bin85","D3","DR",0.0075784361908769,"Desulfovibrionaceae","Desulfobacterota",4
"Bin102","D6","DR",0.00715671282871504,"Dethiosulfatibacteraceae","Firmicutes",7
"Bin118","D1","HoS",0.00709622452360298,"Guggenheimella","Firmicutes",17
"Bin2","D1","DL",0.00707261613279214,"MSBL8","Cloacimonadota",7
"Bin46","D5","HoS",0.00692656510327508,"Bacteroidaceae","Bacteroidota",8
"Bin106","D1","DR",0.00670037360388911,"JTB215","Firmicutes",4
"Bin78","D0","DR",0.00655036263483766,"Rhodobacteraceae","Proteobacteria",9
"Bin1","D1","DL",0.0065443074504161,"LK-44f","Cloacimonadota",8
"Bin53","D7","HoS",0.00644823067638364,"Prolixibacteraceae","Bacteroidota",10
"Bin104","D0","HoS",0.00638759609594116,"Dethiosulfatibacteraceae","Firmicutes",10
"Bin74","D3","HoS",0.0063871947194923,"Vibrionaceae","Proteobacteria",6
"Bin102","D5","DR",0.00637258040166559,"Dethiosulfatibacteraceae","Firmicutes",5
"Bin115","D1","DL",0.00632465198449529,"Anaerovoracaceae","Firmicutes",9
"Bin83","D0","DL",0.00628969370474665,"Desulfobacteraceae","Desulfobacterota",9
"Bin13","D1","HoS",0.00618432585132194,"uncultured","Firmicutes",18
"Bin88","D0","DL",0.00617078709361559,"Synergistaceae","Synergistota",10
"Bin18","D0","DL",0.00608734785506075,"Anaerolineaceae","Chloroflexi",11
"Bin38","D1","DL",0.00606927569782027,"Rikenellaceae","Bacteroidota",10
"Bin102","D7","HoS",0.00604992929332896,"Dethiosulfatibacteraceae","Firmicutes",11
"Bin59","D0","DL",0.00601591500278135,"Marinilabiliaceae","Bacteroidota",12
"Bin114","D3","HoS",0.00593744434589739,"Anaerovoracaceae","Firmicutes",7
"Bin119","D3","DR",0.005927238956179,"Fusibacteraceae","Firmicutes",5
"Bin82","D0","DL",0.00589070967191905,"Desulfobulbaceae","Desulfobacterota",13
"Bin27","D0","DL",0.00586906517645661,"Ilumatobacteraceae","Actinobacteriota",14
"Bin119","D7","HoS",0.00582269081266261,"Fusibacteraceae","Firmicutes",12
"Bin93","D6","DL",0.0056872606193889,"Exiguobacteraceae","Firmicutes",3
"Bin43","D1","DL",0.00563366678274821,"Prolixibacteraceae","Bacteroidota",11
"Bin110","D1","DL",0.00550058080282038,"uncultured","Actinobacteriota",12
"Bin78","D7","HoS",0.00543941367497188,"Rhodobacteraceae","Proteobacteria",13
"Bin101","D7","DR",0.00542773195057244,"Fusobacteriaceae","Fusobacteriota",7
"Bin105","D1","HoS",0.00538465542685221,"Fermentibacteraceae","Fermentibacterota",19
"Bin85","D7","HoS",0.00534926470482614,"Desulfovibrionaceae","Desulfobacterota",14
"Bin62","D1","DL",0.00529852078731404,"uncultured__bacterium","Bacteroidota",13
"Bin119","D5","HoS",0.00524699916702924,"Fusibacteraceae","Firmicutes",9
"Bin101","D0","HoS",0.00518359638653229,"Fusobacteriaceae","Fusobacteriota",11
"Bin30","D0","DL",0.00518280881125981,"uncultured__bacterium","Actinobacteriota",15
"Bin78","D7","DL",0.00517759098089619,"Rhodobacteraceae","Proteobacteria",6
"Bin5","D1","DL",0.00514578009684505,"Sulfurovaceae","Campilobacterota",14
"Bin17","D0","DR",0.00513299841617408,"Anaerolineaceae","Chloroflexi",10
"Bin119","D5","DR",0.00512108864813244,"Fusibacteraceae","Firmicutes",6
"Bin21","D0","DL",0.00508098092700861,"uncultured__bacterium","Chloroflexi",16
"Bin6","D7","DR",0.0050602252184772,"Arcobacteraceae","Campilobacterota",8
"Bin56","D3","DR",0.00502318921069606,"Prolixibacteraceae","Bacteroidota",6
"Bin34","D5","DR",0.00500516047250085,"Marinifilaceae","Bacteroidota",7
"Bin22","D0","DL",0.00497739096069627,"Petrotogaceae","Thermotogota",17
"Bin19","D0","DL",0.0048516444784575,"Anaerolineaceae","Chloroflexi",18
"Bin6","D1","DR",0.00477974696538219,"Arcobacteraceae","Campilobacterota",5
"Bin34","D0","HoS",0.00475315845299587,"Marinifilaceae","Bacteroidota",12
"Bin115","D0","DL",0.00463502991135307,"Anaerovoracaceae","Firmicutes",19
"Bin13","D0","HoS",0.00461180246283942,"uncultured","Firmicutes",13
"Bin102","D7","DR",0.00454357490143093,"Dethiosulfatibacteraceae","Firmicutes",9
"Bin112","D5","HoS",0.00453002604915524,"Peptostreptococcaceae","Firmicutes",10
"Bin102","D1","DR",0.00450625697728236,"Dethiosulfatibacteraceae","Firmicutes",6
"Bin36","D1","DL",0.00450384583115238,"Marinilabiliaceae","Bacteroidota",15
"Bin73","D7","HoS",0.00449468780011409,"Vibrionaceae","Proteobacteria",15
"Bin46","D3","HoS",0.00436225978955463,"Bacteroidaceae","Bacteroidota",8
"Bin77","D5","HoS",0.00426501268293098,"Rhodospirillaceae","Proteobacteria",11
"Bin85","D6","HoS",0.00425868244414541,"Desulfovibrionaceae","Desulfobacterota",11
"Bin34","D5","HoS",0.00424696784254129,"Marinifilaceae","Bacteroidota",12
"Bin74","D5","HoS",0.0042222856735189,"Vibrionaceae","Proteobacteria",13
"Bin61","D1","DL",0.00414576351132901,"Lentimicrobiaceae","Bacteroidota",16
"Bin16","D0","DR",0.00414024782970235,"uncultured__bacterium","Chloroflexi",11
"Bin75","D7","DR",0.00413726811947224,"Vibrionaceae","Proteobacteria",10
"Bin41","D0","HoS",0.00410201687010769,"Marinilabiliaceae","Bacteroidota",14
"Bin52","D1","DL",0.00404830951920136,"Prolixibacteraceae","Bacteroidota",17
"Bin102","D3","HoS",0.00402673961773553,"Dethiosulfatibacteraceae","Firmicutes",9
"Bin93","D0","DR",0.00389938821995387,"Exiguobacteraceae","Firmicutes",12
"Bin35","D3","HoS",0.00389736872151479,"Marinilabiliaceae","Bacteroidota",10
"Bin74","D5","DR",0.00389251295867881,"Vibrionaceae","Proteobacteria",8
"Bin9","D5","DR",0.00388251951084536,"Spirochaetaceae","Spirochaetota",9
"Bin28","D0","DL",0.00386769916973066,"Propionibacteriaceae","Actinobacteriota",20
"Bin65","D0","HoS",0.00380824721530719,"uncultured__bacterium","Patescibacteria",15
"Bin15","D0","DL",0.00380316854241787,"uncultured__Chloroflexi__bacterium","Chloroflexi",21
"Bin96","D1","DL",0.00378442757973383,"Oscillospiraceae","Firmicutes",18
"Bin112","D3","HoS",0.00370807508518734,"Peptostreptococcaceae","Firmicutes",11
"Bin9","D3","HoS",0.00366715639397138,"Spirochaetaceae","Spirochaetota",12
"Bin57","D1","DR",0.00365756094361924,"Bacteroidetes__vadinHA17","Bacteroidota",7
"Bin61","D0","DL",0.00365290850970267,"Lentimicrobiaceae","Bacteroidota",22
"Bin45","D1","DL",0.00360616067798005,"Marinilabiliaceae","Bacteroidota",19
"Bin101","D6","HoS",0.00345816816807685,"Fusobacteriaceae","Fusobacteriota",12
"Bin31","D0","HoS",0.00337448820229034,"uncultured__bacterium","Actinobacteriota",16
"Bin112","D0","DR",0.00334791043929035,"Peptostreptococcaceae","Firmicutes",13
"Bin87","D0","DL",0.00334339197751837,"uncultured__bacterium","Acidobacteriota",23
"Bin62","D0","DR",0.00323029925381427,"uncultured__bacterium","Bacteroidota",14
"Bin50","D1","HoS",0.00322046696412644,"Marinilabiliaceae","Bacteroidota",20
"Bin70","D1","HoS",0.00319023056834272,"uncultured__bacterium","Marinimicrobia__(SAR406__clade)",21
"Bin22","D0","DR",0.0031713459913786,"Petrotogaceae","Thermotogota",15
"Bin95","D0","DL",0.00313385600925882,"Peptococcaceae","Firmicutes",24
"Bin9","D6","DR",0.00308899530825311,"Spirochaetaceae","Spirochaetota",8
"Bin53","D3","HoS",0.00307759769757597,"Prolixibacteraceae","Bacteroidota",13
"Bin34","D3","DR",0.00306279986742165,"Marinifilaceae","Bacteroidota",7
"Bin96","D0","HoS",0.00303692662234764,"Oscillospiraceae","Firmicutes",17
"Bin115","D0","DR",0.00303628740370073,"Anaerovoracaceae","Firmicutes",16
"Bin54","D7","DR",0.00303144520971657,"Prolixibacteraceae","Bacteroidota",11
"Bin72","D5","HoS",0.00302457414213841,"Vibrionaceae","Proteobacteria",14
"Bin54","D1","HoS",0.00300871053284472,"Prolixibacteraceae","Bacteroidota",22
"Bin89","D3","HoS",0.00299122507413997,"Clostridiaceae","Firmicutes",14
"Bin9","D6","HoS",0.00292783424162114,"Spirochaetaceae","Spirochaetota",13
"Bin14","D0","DL",0.00288278722574915,"JG30-KF-CM45","Chloroflexi",25
"Bin23","D0","DL",0.0028421285643254,"uncultured__bacterium","Caldatribacteriota",26
"Bin62","D0","DL",0.00282862630036521,"uncultured__bacterium","Bacteroidota",27
"Bin71","D3","DR",0.00280220317214474,"Shewanellaceae","Proteobacteria",8
"Bin108","D0","HoS",0.00272921068489182,"JTB215","Firmicutes",18
"Bin85","D0","DR",0.00267757637160932,"Desulfovibrionaceae","Desulfobacterota",17
"Bin33","D7","HoS",0.00262405879122119,"Marinifilaceae","Bacteroidota",16
"Bin118","D0","DL",0.00261274625001554,"Guggenheimella","Firmicutes",28
"Bin26","D0","DL",0.00260880886466459,"uncultured","Actinobacteriota",29
"Bin114","D1","HoS",0.00260415794652035,"Anaerovoracaceae","Firmicutes",23
"Bin54","D0","HoS",0.00257918175896688,"Prolixibacteraceae","Bacteroidota",19
"Bin22","D1","DL",0.00257260976349309,"Petrotogaceae","Thermotogota",20
"Bin83","D1","HoS",0.00255580506906661,"Desulfobacteraceae","Desulfobacterota",24
"Bin56","D7","DR",0.00253770084269053,"Prolixibacteraceae","Bacteroidota",12
"Bin101","D6","DR",0.00252789996862338,"Fusobacteriaceae","Fusobacteriota",9
"Bin18","D0","DR",0.00251946470570966,"Anaerolineaceae","Chloroflexi",18
"Bin88","D1","HoS",0.00250747611732581,"Synergistaceae","Synergistota",25
"Bin59","D1","DL",0.00250458661494747,"Marinilabiliaceae","Bacteroidota",21
"Bin94","D7","DR",0.00246654623605814,"Carnobacteriaceae","Firmicutes",13
"Bin61","D0","DR",0.00245176850980499,"Lentimicrobiaceae","Bacteroidota",19
"Bin88","D0","DR",0.00243481790498446,"Synergistaceae","Synergistota",20
"Bin29","D0","HoS",0.00243388671320574,"Bogoriellaceae","Actinobacteriota",20
"Bin94","D6","DR",0.00242593066575336,"Carnobacteriaceae","Firmicutes",10
"Bin41","D1","DL",0.00240461396922934,"Marinilabiliaceae","Bacteroidota",22
"Bin46","D0","HoS",0.00238002011736516,"Bacteroidaceae","Bacteroidota",21
"Bin9","D0","HoS",0.00236693441017459,"Spirochaetaceae","Spirochaetota",22
"Bin6","D7","HoS",0.00233615275534801,"Arcobacteraceae","Campilobacterota",17
"Bin48","D1","DR",0.0023348686086043,"Lentimicrobiaceae","Bacteroidota",8
"Bin33","D7","DR",0.00232596410382184,"Marinifilaceae","Bacteroidota",14
"Bin106","D5","HoS",0.00232244056094359,"JTB215","Firmicutes",15
"Bin91","D0","DR",0.00229977902111613,"Erysipelotrichaceae","Firmicutes",21
"Bin32","D0","DL",0.00227050335541198,"Flavobacteriaceae","Bacteroidota",30
"Bin106","D1","DL",0.00226731571466133,"JTB215","Firmicutes",23
"Bin115","D3","DR",0.00226111717585492,"Anaerovoracaceae","Firmicutes",9
"Bin106","D0","HoS",0.00222642119282024,"JTB215","Firmicutes",23
"Bin118","D0","DR",0.00220393881394945,"Guggenheimella","Firmicutes",22
"Bin93","D6","DR",0.00216699638799939,"Exiguobacteraceae","Firmicutes",11
"Bin122","D3","HoS",0.00215982430648401,"uncultured","Firmicutes",15
"Bin53","D1","HoS",0.00214434868132039,"Prolixibacteraceae","Bacteroidota",26
"Bin90","D0","DL",0.00212275056630232,"uncultured__bacterium","Firmicutes",31
"Bin103","D1","HoS",0.00211833457573778,"Dethiosulfatibacteraceae","Firmicutes",27
"Bin82","D0","DR",0.00211031172525749,"Desulfobulbaceae","Desulfobacterota",23
"Bin34","D0","DR",0.00208653629178298,"Marinifilaceae","Bacteroidota",24
"Bin78","D7","DR",0.00208441754715862,"Rhodobacteraceae","Proteobacteria",15
"Bin57","D1","HoS",0.00206816044424614,"Bacteroidetes__vadinHA17","Bacteroidota",28
"Bin79","D0","DL",0.00205740242681282,"Stappiaceae","Proteobacteria",32
"Bin56","D0","DR",0.00204013744002011,"Prolixibacteraceae","Bacteroidota",25
"Bin49","D1","DL",0.00201637192727517,"Marinilabiliaceae","Bacteroidota",24
"Bin84","D3","DR",0.00201426542704196,"Desulfovibrionaceae","Desulfobacterota",10
"Bin25","D0","DL",0.00200446781229719,"uncultured__bacterium","Latescibacterota",33
"Bin91","D0","DL",0.00200263265130145,"Erysipelotrichaceae","Firmicutes",34
"Bin51","D0","HoS",0.00200137291706888,"Prolixibacteraceae","Bacteroidota",24
"Bin84","D5","HoS",0.00198854488327113,"Desulfovibrionaceae","Desulfobacterota",16
"Bin29","D0","DR",0.00197090538667336,"Bogoriellaceae","Actinobacteriota",26
"Bin41","D1","HoS",0.00193388183272863,"Marinilabiliaceae","Bacteroidota",29
"Bin107","D3","HoS",0.00191425342832509,"uncultured","Firmicutes",16
"Bin116","D6","HoS",0.00189505975682848,"Fusibacteraceae","Firmicutes",14
"Bin5","D0","HoS",0.00188841699258926,"Sulfurovaceae","Campilobacterota",25
"Bin114","D5","HoS",0.00188454760052338,"Anaerovoracaceae","Firmicutes",17
"Bin33","D6","DR",0.00187460337454611,"Marinifilaceae","Bacteroidota",12
"Bin27","D0","DR",0.00185474288730972,"Ilumatobacteraceae","Actinobacteriota",27
"Bin118","D5","HoS",0.00182791424769422,"Guggenheimella","Firmicutes",18
"Bin19","D0","DR",0.00182791423977638,"Anaerolineaceae","Chloroflexi",28
"Bin59","D0","DR",0.00180427957908713,"Marinilabiliaceae","Bacteroidota",29
"Bin89","D5","HoS",0.00179645025354269,"Clostridiaceae","Firmicutes",19
"Bin77","D3","HoS",0.00175671438753673,"Rhodospirillaceae","Proteobacteria",17
"Bin76","D0","DL",0.00174749453786702,"Rhodocyclaceae","Proteobacteria",35
"Bin29","D1","HoS",0.00172760554697436,"Bogoriellaceae","Actinobacteriota",30
"Bin84","D5","DR",0.0017245437836404,"Desulfovibrionaceae","Desulfobacterota",10
"Bin74","D6","HoS",0.00171962765853499,"Vibrionaceae","Proteobacteria",15
"Bin106","D3","HoS",0.0016971208463649,"JTB215","Firmicutes",18
"Bin90","D0","DR",0.00168577056720986,"uncultured__bacterium","Firmicutes",30
"Bin118","D3","HoS",0.001652313584113,"Guggenheimella","Firmicutes",19
"Bin53","D0","HoS",0.00163469837810337,"Prolixibacteraceae","Bacteroidota",26
"Bin22","D1","HoS",0.0016336504461509,"Petrotogaceae","Thermotogota",31
"Bin9","D7","HoS",0.0016217955935623,"Spirochaetaceae","Spirochaetota",18
"Bin112","D6","DR",0.00162114173293599,"Peptostreptococcaceae","Firmicutes",13
"Bin111","D1","DR",0.00161400485765786,"Peptostreptococcaceae","Firmicutes",9
"Bin115","D1","DR",0.00161370937738488,"Anaerovoracaceae","Firmicutes",10
"Bin28","D0","DR",0.00161127451450895,"Propionibacteriaceae","Actinobacteriota",31
"Bin71","D0","HoS",0.00160293125353238,"Shewanellaceae","Proteobacteria",27
"Bin44","D1","DL",0.00159092336203682,"Williamwhitmaniaceae","Bacteroidota",25
"Bin80","D1","HoS",0.00158045595559239,"uncultured__bacterium","SAR324__clade(Marine__group__B)",32
"Bin24","D0","DL",0.0015803517697836,"uncultured__bacterium","Verrucomicrobiota",36
"Bin20","D0","DL",0.00156911832101529,"uncultured__bacterium","Chloroflexi",37
"Bin103","D1","DL",0.00154493351003378,"Dethiosulfatibacteraceae","Firmicutes",26
"Bin83","D0","DR",0.00152725257140945,"Desulfobacteraceae","Desulfobacterota",32
"Bin51","D0","DL",0.00152442158538489,"Prolixibacteraceae","Bacteroidota",38
"Bin112","D0","DL",0.00152085103065447,"Peptostreptococcaceae","Firmicutes",39
"Bin117","D0","HoS",0.00149386351668516,"Fusibacteraceae","Firmicutes",28
"Bin34","D7","DL",0.00148572871923885,"Marinifilaceae","Bacteroidota",7
"Bin75","D0","HoS",0.00147671019808506,"Vibrionaceae","Proteobacteria",29
"Bin16","D1","DR",0.00144658403887242,"uncultured__bacterium","Chloroflexi",11
"Bin35","D1","DL",0.00140291429788771,"Marinilabiliaceae","Bacteroidota",27
"Bin69","D0","DR",0.00139389267500232,"uncultured__bacterium","Cyanobacteria",33
"Bin10","D1","DL",0.00138025918925612,"Spirochaetaceae","Spirochaetota",28
"Bin6","D7","DL",0.00135939669351141,"Arcobacteraceae","Campilobacterota",8
"Bin96","D1","DR",0.00135922658536746,"Oscillospiraceae","Firmicutes",12
"Bin117","D0","DR",0.0013574855423198,"Fusibacteraceae","Firmicutes",34
"Bin8","D3","DR",0.00135419702631825,"Spirochaetaceae","Spirochaetota",11
"Bin35","D1","DR",0.00134719146302692,"Marinilabiliaceae","Bacteroidota",13
"Bin21","D0","DR",0.00132827278210392,"uncultured__bacterium","Chloroflexi",35
"Bin11","D0","DL",0.00132390655526389,"Leptospiraceae","Spirochaetota",40
"Bin64","D0","DL",0.00132291963185453,"uncultured__bacterium","Patescibacteria",41
"Bin71","D3","HoS",0.00132013313420212,"Shewanellaceae","Proteobacteria",20
"Bin84","D1","DR",0.00131985304777635,"Desulfovibrionaceae","Desulfobacterota",14
"Bin108","D1","HoS",0.00131614146676322,"JTB215","Firmicutes",33
"Bin65","D0","DL",0.00130568873182708,"uncultured__bacterium","Patescibacteria",42
"Bin72","D6","HoS",0.00130149378252464,"Vibrionaceae","Proteobacteria",16
"Bin74","D6","DR",0.00129182826326292,"Vibrionaceae","Proteobacteria",14
"Bin56","D6","DR",0.00129045581726795,"Prolixibacteraceae","Bacteroidota",15
"Bin58","D1","DL",0.00127854192659403,"Marinilabiliaceae","Bacteroidota",29
"Bin106","D3","DR",0.00127819066009441,"JTB215","Firmicutes",12
"Bin96","D0","DL",0.0012732122469653,"Oscillospiraceae","Firmicutes",43
"Bin74","D7","DR",0.00126834353427441,"Vibrionaceae","Proteobacteria",16
"Bin17","D1","DR",0.00126241528349965,"Anaerolineaceae","Chloroflexi",15
"Bin101","D7","DL",0.00126156246478328,"Fusobacteriaceae","Fusobacteriota",9
"Bin15","D0","DR",0.00125997298793815,"uncultured__Chloroflexi__bacterium","Chloroflexi",36
"Bin34","D1","DR",0.00121255791752861,"Marinifilaceae","Bacteroidota",16
"Bin6","D1","DL",0.00121055087499632,"Arcobacteraceae","Campilobacterota",30
